N,Bias_a,Bias_v,Bias_t,SE_a,SE_v,SE_t
10,-0.377107,4.369603,0.132674,0.142209,19.093427,0.017602
10,-0.415223,2.928572,0.043086,0.172410,8.576536,0.001856
10,1.445503,-0.238139,-1.760283,2.089479,0.056710,3.098597
10,-0.212966,0.810701,0.230623,0.045354,0.657236,0.053187
10,0.539499,-0.207719,-0.307836,0.291059,0.043147,0.094763
10,0.195220,-0.109611,-0.096695,0.038111,0.012015,0.009350
10,1.729318,-0.440597,-2.020923,2.990541,0.194126,4.084131
10,0.738002,-0.361480,-0.518385,0.544647,0.130668,0.268723
10,-0.386940,0.835133,0.103191,0.149723,0.697447,0.010648
10,-0.259549,0.476106,0.069950,0.067366,0.226677,0.004893
10,-0.613972,1.332148,0.213850,0.376961,1.774618,0.045732
10,1.358568,-1.212145,-1.035962,1.845707,1.469296,1.073217
10,-0.141055,-0.252074,-0.177771,0.019897,0.063541,0.031602
10,1.909504,-0.862826,-1.863255,3.646206,0.744468,3.471720
10,1.271845,-0.862229,-1.042698,1.617589,0.743439,1.087218
10,0.830707,-0.025005,-0.580178,0.690074,0.000625,0.336606
10,0.803535,-0.083030,-0.657503,0.645668,0.006894,0.432310
10,0.098078,-0.355385,0.014458,0.009619,0.126299,0.000209
10,0.050803,-0.748077,-0.060967,0.002581,0.559620,0.003717
10,-1.307867,-0.559594,0.484713,1.710515,0.313145,0.234947
10,-0.462184,0.680238,0.293081,0.213614,0.462724,0.085897
10,-0.305427,0.721603,0.121071,0.093286,0.520711,0.014658
10,-0.457570,0.808281,0.084316,0.209370,0.653318,0.007109
10,4.289556,-0.459750,-7.722838,18.400294,0.211370,59.642234
10,-0.655545,3.367687,0.241013,0.429740,11.341315,0.058087
10,0.913528,-0.310711,-0.845107,0.834534,0.096541,0.714205
10,-0.359114,0.792996,0.255142,0.128963,0.628843,0.065097
10,-0.112483,0.502334,-0.015980,0.012652,0.252339,0.000255
10,-0.562090,0.815896,0.030720,0.315945,0.665686,0.000944
10,-0.425086,0.791280,0.461838,0.180699,0.626124,0.213294
10,2.778306,-1.080817,-4.261679,7.718986,1.168166,18.161909
10,-0.196627,-0.767052,-0.034774,0.038662,0.588368,0.001209
10,-0.279810,1.279860,0.050714,0.078294,1.638042,0.002572
10,1.314691,-0.768331,-1.205004,1.728413,0.590333,1.452034
10,-0.411376,2.085093,0.145264,0.169230,4.347614,0.021102
10,-0.417190,-0.652482,0.189225,0.174048,0.425733,0.035806
10,0.291815,-0.810371,-0.206894,0.085156,0.656701,0.042805
10,1.171997,-0.384514,-0.959601,1.373578,0.147851,0.920834
10,0.223489,-0.681182,-0.071380,0.049947,0.464009,0.005095
10,0.110794,-0.209919,0.085541,0.012275,0.044066,0.007317
10,-0.289706,0.755334,0.078941,0.083929,0.570530,0.006232
10,-1.071140,1.172463,0.442097,1.147341,1.374670,0.195450
10,-0.352980,0.666668,0.077704,0.124595,0.444446,0.006038
10,-0.330571,0.571403,0.071748,0.109277,0.326501,0.005148
10,-0.434089,0.639903,0.035275,0.188433,0.409475,0.001244
10,-0.132833,0.140068,-0.031910,0.017645,0.019619,0.001018
10,-0.893145,0.493811,0.488463,0.797708,0.243849,0.238596
10,-0.125364,0.202938,0.065270,0.015716,0.041184,0.004260
